ticker,timestamp,open,high,low,close,volume,bu,sd,fb,fs,fn
HTG,2025-07-29 00:00,48450.0,48900.0,47250.0,47250.0,45352.0,18200.0,24500.0,0.0,0.0,0.0
HTG,2025-07-30 00:00,47250.0,47800.0,47000.0,47600.0,26819.0,4900.0,20400.0,0.0,0.0,0.0
HTG,2025-07-31 00:00,48000.0,48600.0,47300.0,47950.0,32000.0,19000.0,12900.0,0.0,0.0,0.0
HTG,2025-08-01 00:00,48000.0,48000.0,47300.0,47300.0,24206.0,9500.0,6400.0,0.0,0.0,0.0
HTG,2025-08-04 00:00,47300.0,48100.0,47250.0,47400.0,20500.0,11300.0,9000.0,0.0,0.0,0.0
HTG,2025-08-05 00:00,47950.0,47950.0,47300.0,47300.0,36070.0,17900.0,14700.0,0.0,0.0,0.0
HTG,2025-08-06 00:00,47900.0,47900.0,47150.0,47300.0,31701.0,5400.0,25600.0,0.0,0.0,0.0
HTG,2025-08-07 00:00,47550.0,48600.0,47300.0,48400.0,74041.0,44000.0,25000.0,0.0,0.0,0.0
HTG,2025-08-08 00:00,47600.0,48400.0,47600.0,48400.0,13444.0,7700.0,5200.0,0.0,0.0,0.0
HTG,2025-08-11 00:00,47750.0,49450.0,47550.0,49350.0,53779.0,47300.0,6300.0,0.0,0.0,0.0
HTG,2025-08-12 00:00,49350.0,49350.0,48300.0,48600.0,18717.0,7600.0,11100.0,0.0,0.0,0.0
HTG,2025-08-13 00:00,48600.0,48650.0,48150.0,48400.0,8405.0,2600.0,5500.0,0.0,0.0,0.0
HTG,2025-08-14 00:00,48400.0,48400.0,46900.0,47000.0,105223.0,4900.0,95000.0,0.0,0.0,0.0
HTG,2025-08-15 00:00,46900.0,47400.0,46750.0,47250.0,15936.0,3800.0,11700.0,0.0,0.0,0.0
HTG,2025-08-18 00:00,47050.0,48900.0,47000.0,48400.0,77338.0,58400.0,18900.0,0.0,0.0,0.0
HTG,2025-08-19 00:00,47900.0,48800.0,47200.0,47450.0,30134.0,17700.0,12000.0,0.0,0.0,0.0
HTG,2025-08-20 00:00,47350.0,47500.0,46700.0,47400.0,47122.0,13200.0,33000.0,0.0,0.0,0.0
HTG,2025-08-21 00:00,47500.0,47500.0,46950.0,47400.0,58294.0,18500.0,39700.0,0.0,0.0,0.0
HTG,2025-08-22 00:00,47400.0,47800.0,47000.0,47500.0,59504.0,10500.0,47400.0,0.0,0.0,0.0
